fetch_date,expiry,T,S,strike,option_type,bid,ask,mid,yf_iv,volume,open_interest
2025-03-14,2025-03-21,0.019178,590.0,625,put,34.01,35.05,34.53,0.20804,797,6376
2025-03-14,2025-03-21,0.019178,590.0,630,call,0.04,0.09,0.07,0.20554,930,7440
2025-03-14,2025-03-21,0.019178,590.0,630,put,38.84,40.02,39.43,0.20554,930,7440
2025-03-14,2025-03-21,0.019178,590.0,635,put,43.72,45.05,44.38,0.2031,455,5005
2025-03-14,2025-03-21,0.019178,590.0,640,put,48.62,50.1,49.36,0.20072,1307,18298
2025-03-14,2025-03-21,0.019178,590.0,645,put,53.53,55.16,54.35,0.1984,828,4968
2025-03-14,2025-03-21,0.019178,590.0,650,put,58.45,60.23,59.34,0.19613,1081,15134
2025-03-14,2025-03-21,0.019178,590.0,655,put,63.37,65.3,64.33,0.19391,800,5600
2025-03-14,2025-03-21,0.019178,590.0,660,put,68.29,70.37,69.33,0.19174,755,6795
2025-03-14,2025-03-21,0.019178,590.0,665,put,73.21,75.44,74.32,0.18962,189,2457
2025-03-14,2025-03-21,0.019178,590.0,670,put,78.13,80.51,79.32,0.18756,333,2664
2025-03-14,2025-03-21,0.019178,590.0,675,put,83.05,85.58,84.31,0.18554,932,10252
2025-03-14,2025-03-21,0.019178,590.0,680,put,87.97,90.65,89.31,0.18357,940,13160
2025-03-14,2025-04-17,0.093151,590.0,470,call,120.53,124.2,122.36,0.28286,160,2080
2025-03-14,2025-04-17,0.093151,590.0,475,call,115.64,119.16,117.4,0.27775,506,4554
2025-03-14,2025-04-17,0.093151,590.0,475,put,0.04,0.09,0.06,0.27775,506,4554
2025-03-14,2025-04-17,0.093151,590.0,480,call,110.76,114.13,112.44,0.27275,534,6408
2025-03-14,2025-04-17,0.093151,590.0,480,put,0.05,0.1,0.08,0.27275,534,6408
2025-03-14,2025-04-17,0.093151,590.0,485,call,105.88,109.1,107.49,0.26788,624,8736
2025-03-14,2025-04-17,0.093151,590.0,485,put,0.07,0.12,0.1,0.26788,624,8736
2025-03-14,2025-04-17,0.093151,590.0,490,call,101.0,104.08,102.54,0.26311,213,2130
2025-03-14,2025-04-17,0.093151,590.0,490,put,0.1,0.15,0.13,0.26311,213,2130
2025-03-14,2025-04-17,0.093151,590.0,495,call,96.13,99.06,97.6,0.25846,116,580
2025-03-14,2025-04-17,0.093151,590.0,495,put,0.14,0.19,0.16,0.25846,116,580
2025-03-14,2025-04-17,0.093151,590.0,500,call,91.28,94.06,92.67,0.25391,871,9581
2025-03-14,2025-04-17,0.093151,590.0,500,put,0.18,0.23,0.21,0.25391,871,9581
2025-03-14,2025-04-17,0.093151,590.0,505,call,86.43,89.07,87.75,0.24947,95,1235
2025-03-14,2025-04-17,0.093151,590.0,505,put,0.24,0.29,0.26,0.24947,95,1235
2025-03-14,2025-04-17,0.093151,590.0,510,call,81.6,84.09,82.85,0.24513,68,476
2025-03-14,2025-04-17,0.093151,590.0,510,put,0.31,0.36,0.33,0.24513,68,476
2025-03-14,2025-04-17,0.093151,590.0,515,call,76.79,79.13,77.96,0.24089,390,2340
2025-03-14,2025-04-17,0.093151,590.0,515,put,0.4,0.45,0.43,0.24089,390,2340
2025-03-14,2025-04-17,0.093151,590.0,520,call,72.01,74.2,73.11,0.23675,398,2786
2025-03-14,2025-04-17,0.093151,590.0,520,put,0.52,0.57,0.55,0.23675,398,2786
2025-03-14,2025-04-17,0.093151,590.0,525,call,67.26,69.31,68.28,0.23271,213,2556
2025-03-14,2025-04-17,0.093151,590.0,525,put,0.67,0.72,0.7,0.23271,213,2556
2025-03-14,2025-04-17,0.093151,590.0,530,call,62.55,64.45,63.5,0.22875,896,6272
2025-03-14,2025-04-17,0.093151,590.0,530,put,0.87,0.92,0.89,0.22875,896,6272
2025-03-14,2025-04-17,0.093151,590.0,535,call,57.89,59.65,58.77,0.22489,106,742
2025-03-14,2025-04-17,0.093151,590.0,535,put,1.11,1.16,1.13,0.22489,106,742
2025-03-14,2025-04-17,0.093151,590.0,540,call,53.29,54.91,54.1,0.22111,824,6592
2025-03-14,2025-04-17,0.093151,590.0,540,put,1.41,1.46,1.44,0.22111,824,6592
2025-03-14,2025-04-17,0.093151,590.0,545,call,48.76,50.25,49.5,0.21742,1158,9264
2025-03-14,2025-04-17,0.093151,590.0,545,put,1.79,1.85,1.82,0.21742,1158,9264
2025-03-14,2025-04-17,0.093151,590.0,550,call,44.33,45.68,45.0,0.21381,757,10598
2025-03-14,2025-04-17,0.093151,590.0,550,put,2.26,2.33,2.3,0.21381,757,10598
2025-03-14,2025-04-17,0.093151,590.0,555,call,40.01,41.22,40.62,0.21029,147,1323
2025-03-14,2025-04-17,0.093151,590.0,555,put,2.84,2.93,2.88,0.21029,147,1323
2025-03-14,2025-04-17,0.093151,590.0,560,call,35.81,36.91,36.36,0.20685,304,3952
2025-03-14,2025-04-17,0.093151,590.0,560,put,3.55,3.66,3.6,0.20685,304,3952
2025-03-14,2025-04-17,0.093151,590.0,565,call,31.78,32.74,32.26,0.20348,773,8503
2025-03-14,2025-04-17,0.093151,590.0,565,put,4.41,4.55,4.48,0.20348,773,8503
2025-03-14,2025-04-17,0.093151,590.0,570,call,27.92,28.77,28.34,0.20019,1578,11046
2025-03-14,2025-04-17,0.093151,590.0,570,put,5.45,5.62,5.53,0.20019,1578,11046
2025-03-14,2025-04-17,0.093151,590.0,575,call,24.26,25.0,24.63,0.19698,1084,15176
2025-03-14,2025-04-17,0.093151,590.0,575,put,6.69,6.9,6.8,0.19698,1084,15176
2025-03-14,2025-04-17,0.093151,590.0,580,call,20.83,21.46,21.14,0.19384,1628,11396
2025-03-14,2025-04-17,0.093151,590.0,580,put,8.16,8.41,8.29,0.19384,1628,11396
2025-03-14,2025-04-17,0.093151,590.0,585,call,17.64,18.18,17.91,0.19077,1250,7500
2025-03-14,2025-04-17,0.093151,590.0,585,put,9.88,10.18,10.03,0.19077,1250,7500
2025-03-14,2025-04-17,0.093151,590.0,590,call,14.73,15.18,14.96,0.18776,1978,19780
2025-03-14,2025-04-17,0.093151,590.0,590,put,11.87,12.23,12.05,0.18776,1978,19780
2025-03-14,2025-04-17,0.093151,590.0,595,call,12.11,12.47,12.29,0.18483,125,1625
2025-03-14,2025-04-17,0.093151,590.0,595,put,14.14,14.58,14.36,0.18483,125,1625
2025-03-14,2025-04-17,0.093151,590.0,600,call,9.78,10.07,9.93,0.18197,1457,10199
2025-03-14,2025-04-17,0.093151,590.0,600,put,16.72,17.22,16.97,0.18197,1457,10199
2025-03-14,2025-04-17,0.093151,590.0,605,call,7.75,7.98,7.86,0.17917,1468,10276
2025-03-14,2025-04-17,0.093151,590.0,605,put,19.59,20.18,19.88,0.17917,1468,10276
2025-03-14,2025-04-17,0.093151,590.0,610,call,6.01,6.2,6.1,0.17643,1645,14805
2025-03-14,2025-04-17,0.093151,590.0,610,put,22.75,23.45,23.1,0.17643,1645,14805
2025-03-14,2025-04-17,0.093151,590.0,615,call,4.56,4.7,4.63,0.17376,694,9022
2025-03-14,2025-04-17,0.093151,590.0,615,put,26.21,27.0,26.61,0.17376,694,9022
2025-03-14,2025-04-17,0.093151,590.0,620,call,3.38,3.49,3.43,0.17114,783,10179
2025-03-14,2025-04-17,0.093151,590.0,620,put,29.92,30.84,30.38,0.17114,783,10179
2025-03-14,2025-04-17,0.093151,590.0,625,call,2.44,2.52,2.48,0.16859,1128,9024
2025-03-14,2025-04-17,0.093151,590.0,625,put,33.89,34.92,34.4,0.16859,1128,9024
2025-03-14,2025-04-17,0.093151,590.0,630,call,1.72,1.77,1.74,0.1661,1065,8520
2025-03-14,2025-04-17,0.093151,590.0,630,put,38.06,39.22,38.64,0.1661,1065,8520
2025-03-14,2025-04-17,0.093151,590.0,635,call,1.16,1.21,1.19,0.16366,1014,11154
2025-03-14,2025-04-17,0.093151,590.0,635,put,42.41,43.71,43.06,0.16366,1014,11154
2025-03-14,2025-04-17,0.093151,590.0,640,call,0.76,0.81,0.78,0.16128,1098,15372
2025-03-14,2025-04-17,0.093151,590.0,640,put,46.92,48.35,47.63,0.16128,1098,15372
2025-03-14,2025-04-17,0.093151,590.0,645,call,0.48,0.53,0.5,0.15895,802,4812
2025-03-14,2025-04-17,0.093151,590.0,645,put,51.54,53.11,52.32,0.15895,802,4812
2025-03-14,2025-04-17,0.093151,590.0,650,call,0.28,0.33,0.31,0.15668,685,9590
2025-03-14,2025-04-17,0.093151,590.0,650,put,56.25,57.96,57.11,0.15668,685,9590
2025-03-14,2025-04-17,0.093151,590.0,655,call,0.16,0.21,0.18,0.15446,702,4914
2025-03-14,2025-04-17,0.093151,590.0,655,put,61.03,62.89,61.96,0.15446,702,4914
2025-03-14,2025-04-17,0.093151,590.0,660,call,0.08,0.13,0.1,0.15229,337,3033
2025-03-14,2025-04-17,0.093151,590.0,660,put,65.85,67.86,66.85,0.15229,337,3033
2025-03-14,2025-04-17,0.093151,590.0,665,call,0.03,0.08,0.06,0.15018,794,10322
2025-03-14,2025-04-17,0.093151,590.0,665,put,70.71,72.86,71.78,0.15018,794,10322
2025-03-14,2025-04-17,0.093151,590.0,670,put,75.58,77.88,76.73,0.14811,947,7576
2025-03-14,2025-04-17,0.093151,590.0,675,put,80.47,82.92,81.69,0.14609,720,7920
2025-03-14,2025-04-17,0.093151,590.0,680,put,85.36,87.96,86.66,0.14412,835,11690
